text,intent,domain
Calculate sum of rainfall from crops,aggregate_sum,Agriculture
Display investments whose balance exceeds 621,filter_condition,Finance
Filter students having grade equal to 611,filter_condition,Education
Filter teams having goals equal to 901,filter_condition,Sports
Display logs whose errors exceeds 117,filter_condition,Technology
Show all orders with quantity below 568,filter_condition,Retail
Display players whose goals exceeds 895,filter_condition,Sports
Display farms whose area exceeds 989,filter_condition,Agriculture
Show first few records of transactions,show_head,Finance
Filter subjects having marks equal to 610,filter_condition,Education
Filter batches having runtime equal to 150,filter_condition,Manufacturing
Display tests whose heart rate exceeds 668,filter_condition,Medical
List accounts where amount is greater than 547,filter_condition,Finance
Show all players with score below 843,filter_condition,Sports
Display tests whose heart rate exceeds 19,filter_condition,Medical
Filter teams having score equal to 623,filter_condition,Sports
Filter parts having runtime equal to 961,filter_condition,Manufacturing
List devices where response time is greater than 274,filter_condition,Technology
Arrange farms by area (high to low),sort_descending,Agriculture
List machines where output is greater than 855,filter_condition,Manufacturing
List teams where assists is greater than 740,filter_condition,Sports
Get maximum age from records,aggregate_minmax,Medical
Display transactions whose balance exceeds 219,filter_condition,Finance
Display teams whose assists exceeds 451,filter_condition,Sports
Show all tests with age below 657,filter_condition,Medical
List investments where amount is greater than 457,filter_condition,Finance
Filter records having age equal to 850,filter_condition,Medical
Arrange harvests by yield (high to low),sort_descending,Agriculture
Filter tickets having uptime equal to 655,filter_condition,Technology
Find total uptime for all tickets,aggregate_sum,Technology
Filter batches having runtime equal to 743,filter_condition,Manufacturing
Show all patients with blood pressure below 466,filter_condition,Medical
Find highest age among patients,aggregate_minmax,Medical
Display subjects whose grade exceeds 483,filter_condition,Education
Get minimum heart rate from patients,aggregate_minmax,Medical
Count number of machines per machine type,groupby_count,Manufacturing
Show all grades with attendance below 462,filter_condition,Education
Show all orders with price below 312,filter_condition,Retail
List tickets where response time is greater than 508,filter_condition,Technology
Order crops from largest to smallest rainfall,sort_descending,Agriculture
List orders where discount is greater than 957,filter_condition,Retail
Find highest assists among games,aggregate_minmax,Sports
Show all records with age below 60,filter_condition,Medical
Filter harvests having area equal to 831,filter_condition,Agriculture
Find lowest yield among farms,aggregate_minmax,Agriculture
Show all products with quantity below 133,filter_condition,Retail
Display games whose score exceeds 395,filter_condition,Sports
Display games whose assists exceeds 519,filter_condition,Sports
Filter batches having runtime equal to 197,filter_condition,Manufacturing
List tickets where response time is greater than 259,filter_condition,Technology
Show average assists by team,groupby_aggregate,Sports
Show all harvests with yield below 245,filter_condition,Agriculture
Display sales whose price exceeds 273,filter_condition,Retail
Order farms from largest to smallest rainfall,sort_descending,Agriculture
Compute mean of marks for all grades,aggregate_average,Education
Show all tickets with response time below 321,filter_condition,Technology
List teams where score is greater than 248,filter_condition,Sports
Filter products having price equal to 338,filter_condition,Retail
Filter transactions having balance equal to 18,filter_condition,Finance
Sort devices by response time in descending order,sort_descending,Technology
Calculate sum of profit from accounts,aggregate_sum,Finance
Show all patients with blood pressure below 999,filter_condition,Medical
Display total output per factory,groupby_aggregate,Manufacturing
Order accounts from smallest to largest balance,sort_ascending,Finance
Show all investments with profit below 287,filter_condition,Finance
Sort sales by quantity in descending order,sort_descending,Retail
Filter crops having area equal to 531,filter_condition,Agriculture
List batches where runtime is greater than 62,filter_condition,Manufacturing
Filter accounts having amount equal to 467,filter_condition,Finance
Display students whose grade exceeds 504,filter_condition,Education
Get minimum cost from machines,aggregate_minmax,Manufacturing
Display harvests whose yield exceeds 291,filter_condition,Agriculture
Display records whose blood pressure exceeds 467,filter_condition,Medical
Show all tickets with response time below 101,filter_condition,Technology
Display farms whose yield exceeds 421,filter_condition,Agriculture
Show all patients with heart rate below 658,filter_condition,Medical
List orders where price is greater than 262,filter_condition,Retail
Filter logs having uptime equal to 788,filter_condition,Technology
Show all sales with quantity below 38,filter_condition,Retail
List tickets where response time is greater than 611,filter_condition,Technology
Find lowest response time among devices,aggregate_minmax,Technology
Show all students with attendance below 960,filter_condition,Education
List tests where heart rate is greater than 580,filter_condition,Medical
Arrange grades by marks (high to low),sort_descending,Education
List games where goals is greater than 589,filter_condition,Sports
Show all parts with cost below 153,filter_condition,Manufacturing
List products where discount is greater than 312,filter_condition,Retail
Show all games with assists below 569,filter_condition,Sports
Display batches whose output exceeds 280,filter_condition,Manufacturing
List products where price is greater than 913,filter_condition,Retail
Show all tests with blood pressure below 246,filter_condition,Medical
Display tickets whose uptime exceeds 814,filter_condition,Technology
Arrange logs by response time (low to high),sort_ascending,Technology
Show how many orders are in each category,groupby_count,Retail
Display tickets whose errors exceeds 283,filter_condition,Technology
Sort teams by goals in ascending order,sort_ascending,Sports
Filter patients having heart rate equal to 775,filter_condition,Medical
Filter orders having quantity equal to 868,filter_condition,Retail
Filter sales having quantity equal to 764,filter_condition,Retail
List machines where cost is greater than 114,filter_condition,Manufacturing
Filter accounts having amount equal to 99,filter_condition,Finance
Show first few records of accounts,show_head,Finance
Display machines whose cost exceeds 86,filter_condition,Manufacturing
Arrange batches by runtime (low to high),sort_ascending,Manufacturing
Show all farms with yield below 569,filter_condition,Agriculture
Get minimum price from sales,aggregate_minmax,Retail
List devices where uptime is greater than 170,filter_condition,Technology
List machines where output is greater than 795,filter_condition,Manufacturing
List grades where attendance is greater than 59,filter_condition,Education
Order farms from smallest to largest rainfall,sort_ascending,Agriculture
Plot heart rate trend over time,visualize_line_chart,Medical
Display subjects whose attendance exceeds 826,filter_condition,Education
Show all devices with errors below 111,filter_condition,Technology
Calculate sum of response time from devices,aggregate_sum,Technology
Sort students by marks in descending order,sort_descending,Education
Sort patients by blood pressure in descending order,sort_descending,Medical
Filter logs having uptime equal to 71,filter_condition,Technology
Filter games having goals equal to 138,filter_condition,Sports
Display teams whose goals exceeds 785,filter_condition,Sports
Show all investments with amount below 314,filter_condition,Finance
Show all harvests with area below 408,filter_condition,Agriculture
Arrange devices by uptime (high to low),sort_descending,Technology
Show last few records of parts,show_tail,Manufacturing
Filter students having grade equal to 10,filter_condition,Education
Arrange harvests by yield (low to high),sort_ascending,Agriculture
Show all farms with rainfall below 407,filter_condition,Agriculture
Display sales whose quantity exceeds 607,filter_condition,Retail
List devices where response time is greater than 866,filter_condition,Technology
List tickets where response time is greater than 425,filter_condition,Technology
Show all games with score below 340,filter_condition,Sports
Display tests whose heart rate exceeds 367,filter_condition,Medical
Calculate sum of errors from devices,aggregate_sum,Technology
List records where age is greater than 25,filter_condition,Medical
Order subjects from smallest to largest marks,sort_ascending,Education
Arrange devices by errors (low to high),sort_ascending,Technology
Filter subjects having marks equal to 39,filter_condition,Education
List products where quantity is greater than 901,filter_condition,Retail
List devices where errors is greater than 755,filter_condition,Technology
Sort batches by runtime in ascending order,sort_ascending,Manufacturing
List logs where uptime is greater than 483,filter_condition,Technology
Show all batches with output below 842,filter_condition,Manufacturing
Show all orders with price below 410,filter_condition,Retail
Display students whose grade exceeds 404,filter_condition,Education
Show all farms with yield below 397,filter_condition,Agriculture
List logs where errors is greater than 717,filter_condition,Technology
Display teams whose goals exceeds 979,filter_condition,Sports
Show all players with assists below 101,filter_condition,Sports
Display tests whose heart rate exceeds 255,filter_condition,Medical
Show all grades with marks below 340,filter_condition,Education
Show all tests with blood pressure below 1,filter_condition,Medical
Display logs whose errors exceeds 858,filter_condition,Technology
Filter students having marks equal to 215,filter_condition,Education
Filter devices having response time equal to 891,filter_condition,Technology
Sort students by marks in ascending order,sort_ascending,Education
List patients where blood pressure is greater than 514,filter_condition,Medical
List farms where rainfall is greater than 394,filter_condition,Agriculture
Filter sales having price equal to 352,filter_condition,Retail
Plot area trend over time,visualize_line_chart,Agriculture
Find average response time among tickets,aggregate_average,Technology
Find average yield among crops,aggregate_average,Agriculture
Order machines from smallest to largest cost,sort_ascending,Manufacturing
Display products whose quantity exceeds 955,filter_condition,Retail
Order players from smallest to largest score,sort_ascending,Sports
Display top rows from grades,show_head,Education
Arrange tickets by errors (low to high),sort_ascending,Technology
List records where age is greater than 407,filter_condition,Medical
Count number of farms per region,groupby_count,Agriculture
Find lowest age among records,aggregate_minmax,Medical
Show all crops with yield below 559,filter_condition,Agriculture
List farms where rainfall is greater than 197,filter_condition,Agriculture
Find average attendance among grades,aggregate_average,Education
Filter transactions having balance equal to 964,filter_condition,Finance
Find average discount among orders,aggregate_average,Retail
Compute mean of age for all tests,aggregate_average,Medical
List subjects where grade is greater than 97,filter_condition,Education
Display products whose discount exceeds 734,filter_condition,Retail
Filter grades having marks equal to 332,filter_condition,Education
List farms where rainfall is greater than 123,filter_condition,Agriculture
List patients where heart rate is greater than 918,filter_condition,Medical
List tickets where errors is greater than 141,filter_condition,Technology
Filter batches having cost equal to 690,filter_condition,Manufacturing
Visualize time-series of blood pressure,visualize_line_chart,Medical
Find average balance among transactions,aggregate_average,Finance
List transactions where balance is greater than 714,filter_condition,Finance
Show all rows of the table,show_all,Manufacturing
Show all games with goals below 859,filter_condition,Sports
Filter tests having heart rate equal to 545,filter_condition,Medical
Sort machines by output in descending order,sort_descending,Manufacturing
Filter sales having discount equal to 722,filter_condition,Retail
Show all tests with heart rate below 497,filter_condition,Medical
Filter subjects having attendance equal to 677,filter_condition,Education
Count number of farms per crop type,groupby_count,Agriculture
Calculate sum of price from products,aggregate_sum,Retail
Get minimum rainfall from crops,aggregate_minmax,Agriculture
Show all patients with heart rate below 145,filter_condition,Medical
Display devices whose errors exceeds 217,filter_condition,Technology
Display top rows from tests,show_head,Medical
List patients where blood pressure is greater than 363,filter_condition,Medical
List crops where yield is greater than 985,filter_condition,Agriculture
Count number of tests per disease,groupby_count,Medical
Display logs whose uptime exceeds 605,filter_condition,Technology
Filter tickets having response time equal to 882,filter_condition,Technology
Show all tests with age below 684,filter_condition,Medical
Display grades whose attendance exceeds 387,filter_condition,Education
List teams where score is greater than 373,filter_condition,Sports
Show all machines with runtime below 231,filter_condition,Manufacturing
List investments where profit is greater than 659,filter_condition,Finance
Show all transactions with amount below 142,filter_condition,Finance
Sort investments by profit in ascending order,sort_ascending,Finance
Sort subjects by marks in descending order,sort_descending,Education
Filter students having attendance equal to 945,filter_condition,Education
Display crops whose area exceeds 352,filter_condition,Agriculture
Display harvests whose rainfall exceeds 646,filter_condition,Agriculture
List students where grade is greater than 830,filter_condition,Education
List games where score is greater than 377,filter_condition,Sports
Get maximum area from harvests,aggregate_minmax,Agriculture
Arrange batches by output (low to high),sort_ascending,Manufacturing
Show all devices with errors below 519,filter_condition,Technology
List investments where amount is greater than 162,filter_condition,Finance
Display games whose goals exceeds 801,filter_condition,Sports
Show all products with price below 980,filter_condition,Retail
Filter players having goals equal to 107,filter_condition,Sports
List subjects where attendance is greater than 168,filter_condition,Education
List subjects where marks is greater than 292,filter_condition,Education
List records where age is greater than 584,filter_condition,Medical
List logs where errors is greater than 963,filter_condition,Technology
List orders where quantity is greater than 919,filter_condition,Retail
Display logs whose errors exceeds 924,filter_condition,Technology
Show all devices with response time below 200,filter_condition,Technology
List players where goals is greater than 245,filter_condition,Sports
Filter logs having errors equal to 561,filter_condition,Technology
Show all records with age below 210,filter_condition,Medical
Show all tests with heart rate below 287,filter_condition,Medical
Compute mean of rainfall for all farms,aggregate_average,Agriculture
Display logs whose uptime exceeds 531,filter_condition,Technology
Show all subjects with attendance below 448,filter_condition,Education
Filter tickets having response time equal to 341,filter_condition,Technology
Filter players having goals equal to 47,filter_condition,Sports
Display patients whose blood pressure exceeds 362,filter_condition,Medical
Display students whose grade exceeds 363,filter_condition,Education
Show last few records of logs,show_tail,Technology
Order transactions from smallest to largest balance,sort_ascending,Finance
Get minimum goals from teams,aggregate_minmax,Sports
Display sales whose price exceeds 226,filter_condition,Retail
Arrange records by blood pressure (low to high),sort_ascending,Medical
Show all records with age below 388,filter_condition,Medical
Display crops whose area exceeds 891,filter_condition,Agriculture
Filter grades having attendance equal to 961,filter_condition,Education
Filter batches having output equal to 163,filter_condition,Manufacturing
Find average output among machines,aggregate_average,Manufacturing
Filter investments having amount equal to 566,filter_condition,Finance
Filter orders having discount equal to 880,filter_condition,Retail
Find total runtime for all parts,aggregate_sum,Manufacturing
Order devices from largest to smallest response time,sort_descending,Technology
Show all batches with runtime below 550,filter_condition,Manufacturing
Display batches whose output exceeds 875,filter_condition,Manufacturing
Plot price trend over time,visualize_line_chart,Retail
Show all farms with yield below 394,filter_condition,Agriculture
List harvests where rainfall is greater than 191,filter_condition,Agriculture
Display students whose marks exceeds 478,filter_condition,Education
Find average area among crops,aggregate_average,Agriculture
List subjects where marks is greater than 587,filter_condition,Education
Show all players with score below 494,filter_condition,Sports
Display batches whose runtime exceeds 122,filter_condition,Manufacturing
Show all orders with discount below 822,filter_condition,Retail
Sort games by score in ascending order,sort_ascending,Sports
Filter parts having cost equal to 490,filter_condition,Manufacturing
Arrange batches by output (high to low),sort_descending,Manufacturing
Show how many products are in each category,groupby_count,Retail
Show all investments with profit below 262,filter_condition,Finance
Show all transactions with balance below 709,filter_condition,Finance
Filter grades having marks equal to 863,filter_condition,Education
Display games whose score exceeds 273,filter_condition,Sports
Find lowest response time among logs,aggregate_minmax,Technology
List tickets where errors is greater than 351,filter_condition,Technology
Filter crops having rainfall equal to 655,filter_condition,Agriculture
Show all subjects with marks below 449,filter_condition,Education
Filter players having score equal to 634,filter_condition,Sports
List parts where output is greater than 513,filter_condition,Manufacturing
Filter patients having heart rate equal to 289,filter_condition,Medical
List products where price is greater than 244,filter_condition,Retail
Filter sales having quantity equal to 562,filter_condition,Retail
Display machines whose output exceeds 705,filter_condition,Manufacturing
Order students from smallest to largest grade,sort_ascending,Education
Show all investments with profit below 306,filter_condition,Finance
Display harvests whose yield exceeds 512,filter_condition,Agriculture
Filter parts having cost equal to 970,filter_condition,Manufacturing
List patients where blood pressure is greater than 881,filter_condition,Medical
List devices where errors is greater than 401,filter_condition,Technology
Find highest cost among batches,aggregate_minmax,Manufacturing
Filter players having score equal to 669,filter_condition,Sports
List parts where output is greater than 806,filter_condition,Manufacturing
Display students whose grade exceeds 92,filter_condition,Education
Compute mean of price for all products,aggregate_average,Retail
Display players whose score exceeds 124,filter_condition,Sports
Show all grades with attendance below 585,filter_condition,Education
Show all farms with area below 676,filter_condition,Agriculture
Display sales whose quantity exceeds 741,filter_condition,Retail
List crops where yield is greater than 464,filter_condition,Agriculture
List investments where profit is greater than 723,filter_condition,Finance
Show all students with grade below 616,filter_condition,Education
Display logs whose errors exceeds 52,filter_condition,Technology
Display accounts whose profit exceeds 659,filter_condition,Finance
Display bottom rows from grades,show_tail,Education
List harvests where yield is greater than 822,filter_condition,Agriculture
Show how many transactions are in each branch,groupby_count,Finance
Filter crops having yield equal to 891,filter_condition,Agriculture
Display tests whose heart rate exceeds 643,filter_condition,Medical
Display devices whose errors exceeds 431,filter_condition,Technology
List tickets where response time is greater than 703,filter_condition,Technology
Display sales whose quantity exceeds 696,filter_condition,Retail
Display batches whose runtime exceeds 544,filter_condition,Manufacturing
List machines where cost is greater than 723,filter_condition,Manufacturing
List games where score is greater than 303,filter_condition,Sports
Get minimum score from players,aggregate_minmax,Sports
Show all investments with profit below 693,filter_condition,Finance
Display tickets whose errors exceeds 489,filter_condition,Technology
Order investments from smallest to largest balance,sort_ascending,Finance
Show all tests with blood pressure below 13,filter_condition,Medical
Show all machines with runtime below 379,filter_condition,Manufacturing
Show all machines with runtime below 483,filter_condition,Manufacturing
Display patients whose heart rate exceeds 131,filter_condition,Medical
Display tickets whose uptime exceeds 595,filter_condition,Technology
Display crops whose yield exceeds 755,filter_condition,Agriculture
Show all games with goals below 299,filter_condition,Sports
Filter games having score equal to 539,filter_condition,Sports
Find total price for all sales,aggregate_sum,Retail
Show all players with assists below 257,filter_condition,Sports
Count number of records per disease,groupby_count,Medical
List subjects where marks is greater than 939,filter_condition,Education
Find highest blood pressure among patients,aggregate_minmax,Medical
Filter patients having blood pressure equal to 306,filter_condition,Medical
Show all sales with quantity below 670,filter_condition,Retail
List sales where discount is greater than 353,filter_condition,Retail
Show all subjects with marks below 381,filter_condition,Education
List parts where cost is greater than 235,filter_condition,Manufacturing
Display players whose goals exceeds 442,filter_condition,Sports
Display teams whose goals exceeds 69,filter_condition,Sports
Display parts whose runtime exceeds 490,filter_condition,Manufacturing
Filter tickets having response time equal to 243,filter_condition,Technology
Display farms whose rainfall exceeds 32,filter_condition,Agriculture
Filter machines having output equal to 378,filter_condition,Manufacturing
List batches where cost is greater than 90,filter_condition,Manufacturing
Show all logs with uptime below 903,filter_condition,Technology
List harvests where yield is greater than 232,filter_condition,Agriculture
List grades where grade is greater than 124,filter_condition,Education
Filter sales having price equal to 162,filter_condition,Retail
Sort records by blood pressure in ascending order,sort_ascending,Medical
Display tests whose heart rate exceeds 883,filter_condition,Medical
List grades where attendance is greater than 551,filter_condition,Education
List sales where quantity is greater than 724,filter_condition,Retail
Get maximum response time from tickets,aggregate_minmax,Technology
Find lowest heart rate among tests,aggregate_minmax,Medical
List subjects where attendance is greater than 37,filter_condition,Education
Filter orders having discount equal to 853,filter_condition,Retail
Filter orders having price equal to 695,filter_condition,Retail
List patients where blood pressure is greater than 138,filter_condition,Medical
List products where price is greater than 516,filter_condition,Retail
List teams where score is greater than 104,filter_condition,Sports
Get minimum rainfall from harvests,aggregate_minmax,Agriculture
Show all orders with price below 133,filter_condition,Retail
List games where assists is greater than 108,filter_condition,Sports
Filter farms having area equal to 96,filter_condition,Agriculture
Show all devices with errors below 903,filter_condition,Technology
Display games whose assists exceeds 567,filter_condition,Sports
Find total price for all products,aggregate_sum,Retail
Show all harvests with rainfall below 628,filter_condition,Agriculture
Display logs whose uptime exceeds 783,filter_condition,Technology
Arrange tests by heart rate (high to low),sort_descending,Medical
Show all transactions with balance below 262,filter_condition,Finance
Display players whose assists exceeds 571,filter_condition,Sports
Show statistical overview of the data,describe_data,Retail
Calculate sum of area from farms,aggregate_sum,Agriculture
Display tests whose heart rate exceeds 546,filter_condition,Medical
Show all tickets with uptime below 70,filter_condition,Technology
Filter orders having price equal to 370,filter_condition,Retail
Show all devices with uptime below 953,filter_condition,Technology
Show all harvests with rainfall below 811,filter_condition,Agriculture
Order records from largest to smallest blood pressure,sort_descending,Medical
Visualize time-series of marks,visualize_line_chart,Education
Find total amount for all investments,aggregate_sum,Finance
Show all players with score below 462,filter_condition,Sports
Show all machines with output below 983,filter_condition,Manufacturing
List records where blood pressure is greater than 259,filter_condition,Medical
Find total blood pressure for all patients,aggregate_sum,Medical
Get maximum amount from accounts,aggregate_minmax,Finance
Filter players having score equal to 211,filter_condition,Sports
Show all logs with response time below 898,filter_condition,Technology
Sort tickets by errors in ascending order,sort_ascending,Technology
Display devices whose response time exceeds 6,filter_condition,Technology
Show all harvests with rainfall below 388,filter_condition,Agriculture
Show all machines with runtime below 839,filter_condition,Manufacturing
Show all games with goals below 893,filter_condition,Sports
Show all tickets with errors below 602,filter_condition,Technology
Find lowest output among batches,aggregate_minmax,Manufacturing
Get maximum errors from devices,aggregate_minmax,Technology
Show all subjects with marks below 825,filter_condition,Education
Find highest quantity among sales,aggregate_minmax,Retail
List games where goals is greater than 608,filter_condition,Sports
Show all investments with profit below 660,filter_condition,Finance
List teams where assists is greater than 252,filter_condition,Sports
Visualize output distribution using bars,visualize_bar_chart,Manufacturing
Show all tests with blood pressure below 371,filter_condition,Medical
Filter investments having amount equal to 961,filter_condition,Finance
Display tickets whose uptime exceeds 386,filter_condition,Technology
Show all crops with yield below 950,filter_condition,Agriculture
List tests where age is greater than 45,filter_condition,Medical
Order machines from smallest to largest output,sort_ascending,Manufacturing
Show all orders with quantity below 803,filter_condition,Retail
Find average marks among students,aggregate_average,Education
List harvests where rainfall is greater than 306,filter_condition,Agriculture
Display orders whose price exceeds 741,filter_condition,Retail
Display bottom rows from teams,show_tail,Sports
Show all investments with profit below 945,filter_condition,Finance
List tests where heart rate is greater than 261,filter_condition,Medical
Sort investments by amount in descending order,sort_descending,Finance
Show all harvests with yield below 597,filter_condition,Agriculture
List machines where cost is greater than 59,filter_condition,Manufacturing
List crops where area is greater than 209,filter_condition,Agriculture
Filter harvests having area equal to 953,filter_condition,Agriculture
List players where assists is greater than 494,filter_condition,Sports
Show all batches with runtime below 106,filter_condition,Manufacturing
List players where score is greater than 937,filter_condition,Sports
Filter parts having runtime equal to 355,filter_condition,Manufacturing
List sales where quantity is greater than 158,filter_condition,Retail
Order machines from largest to smallest runtime,sort_descending,Manufacturing
Display sales whose discount exceeds 613,filter_condition,Retail
Display sales whose discount exceeds 561,filter_condition,Retail
Show all teams with assists below 924,filter_condition,Sports
Display subjects whose attendance exceeds 202,filter_condition,Education
Sort devices by errors in descending order,sort_descending,Technology
Sort accounts by balance in ascending order,sort_ascending,Finance
Display parts whose cost exceeds 652,filter_condition,Manufacturing
Order harvests from largest to smallest rainfall,sort_descending,Agriculture
List farms where rainfall is greater than 39,filter_condition,Agriculture
Visualize time-series of amount,visualize_line_chart,Finance
Visualize time-series of discount,visualize_line_chart,Retail
List sales where discount is greater than 332,filter_condition,Retail
Show all games with goals below 40,filter_condition,Sports
Filter subjects having attendance equal to 528,filter_condition,Education
Order patients from smallest to largest blood pressure,sort_ascending,Medical
Display tickets whose errors exceeds 560,filter_condition,Technology
Sort patients by heart rate in descending order,sort_descending,Medical
Display games whose assists exceeds 123,filter_condition,Sports
Order records from largest to smallest heart rate,sort_descending,Medical
List sales where discount is greater than 995,filter_condition,Retail
Display total profit per branch,groupby_aggregate,Finance
List machines where cost is greater than 782,filter_condition,Manufacturing
Sort patients by heart rate in ascending order,sort_ascending,Medical
Display total output per machine type,groupby_aggregate,Manufacturing
Display total yield per region,groupby_aggregate,Agriculture
List grades where marks is greater than 411,filter_condition,Education
Find average area among harvests,aggregate_average,Agriculture
Display investments whose balance exceeds 557,filter_condition,Finance
Show all players with goals below 955,filter_condition,Sports
Order orders from smallest to largest price,sort_ascending,Retail
Display tests whose heart rate exceeds 371,filter_condition,Medical
List parts where output is greater than 480,filter_condition,Manufacturing
List teams where assists is greater than 759,filter_condition,Sports
Display logs whose uptime exceeds 588,filter_condition,Technology
Display students whose marks exceeds 174,filter_condition,Education
Show all tickets with errors below 695,filter_condition,Technology
Display students whose marks exceeds 404,filter_condition,Education
Filter tests having heart rate equal to 198,filter_condition,Medical
Show all logs with response time below 721,filter_condition,Technology
Display records whose heart rate exceeds 679,filter_condition,Medical
List devices where uptime is greater than 684,filter_condition,Technology
List accounts where amount is greater than 357,filter_condition,Finance
Display students whose grade exceeds 930,filter_condition,Education
Count number of products per category,groupby_count,Retail
Display grades whose attendance exceeds 607,filter_condition,Education
Display orders whose price exceeds 607,filter_condition,Retail
Arrange accounts by profit (high to low),sort_descending,Finance
Arrange crops by yield (low to high),sort_ascending,Agriculture
List players where score is greater than 825,filter_condition,Sports
Show average price by store,groupby_aggregate,Retail
Display entire dataset,show_all,Manufacturing
Filter students having attendance equal to 452,filter_condition,Education
Filter tickets having uptime equal to 90,filter_condition,Technology
Filter patients having blood pressure equal to 720,filter_condition,Medical
List investments where balance is greater than 380,filter_condition,Finance
Calculate sum of price from orders,aggregate_sum,Retail
Summarize the dataset,describe_data,Sports
Display harvests whose rainfall exceeds 676,filter_condition,Agriculture
Compute mean of output for all parts,aggregate_average,Manufacturing
Display devices whose response time exceeds 855,filter_condition,Technology
Find highest rainfall among crops,aggregate_minmax,Agriculture
List crops where yield is greater than 793,filter_condition,Agriculture
Display logs whose errors exceeds 673,filter_condition,Technology
Find lowest errors among tickets,aggregate_minmax,Technology
List grades where marks is greater than 515,filter_condition,Education
Find average amount among investments,aggregate_average,Finance
Filter devices having uptime equal to 459,filter_condition,Technology
Display transactions whose balance exceeds 493,filter_condition,Finance
Display subjects whose attendance exceeds 162,filter_condition,Education
List records where age is greater than 533,filter_condition,Medical
List patients where heart rate is greater than 454,filter_condition,Medical
Show all batches with cost below 632,filter_condition,Manufacturing
Find highest profit among transactions,aggregate_minmax,Finance
Filter teams having assists equal to 639,filter_condition,Sports
Display bottom rows from accounts,show_tail,Finance
Show all tickets with errors below 71,filter_condition,Technology
Filter investments having amount equal to 692,filter_condition,Finance
Filter orders having discount equal to 45,filter_condition,Retail
Compute mean of heart rate for all patients,aggregate_average,Medical
Show all players with goals below 332,filter_condition,Sports
Show average grade by class,groupby_aggregate,Education
Compute mean of amount for all transactions,aggregate_average,Finance
List investments where amount is greater than 441,filter_condition,Finance
Display records whose age exceeds 795,filter_condition,Medical
Display products whose quantity exceeds 147,filter_condition,Retail
Find average assists among teams,aggregate_average,Sports
Show all batches with cost below 233,filter_condition,Manufacturing
List games where score is greater than 195,filter_condition,Sports
Display patients whose heart rate exceeds 870,filter_condition,Medical
Show all patients with age below 317,filter_condition,Medical
Display harvests whose rainfall exceeds 731,filter_condition,Agriculture
Show all subjects with marks below 439,filter_condition,Education
Display records whose heart rate exceeds 172,filter_condition,Medical
Show all orders with quantity below 785,filter_condition,Retail
Filter farms having yield equal to 945,filter_condition,Agriculture
Filter games having goals equal to 115,filter_condition,Sports
Find total heart rate for all tests,aggregate_sum,Medical
Visualize time-series of profit,visualize_line_chart,Finance
Display logs whose errors exceeds 345,filter_condition,Technology
List teams where assists is greater than 348,filter_condition,Sports
Display tests whose age exceeds 768,filter_condition,Medical
Filter games having assists equal to 275,filter_condition,Sports
Filter subjects having grade equal to 299,filter_condition,Education
Find lowest score among teams,aggregate_minmax,Sports
Show all logs with response time below 697,filter_condition,Technology
List logs where uptime is greater than 956,filter_condition,Technology
Filter sales having quantity equal to 630,filter_condition,Retail
List games where goals is greater than 842,filter_condition,Sports
Compute mean of balance for all investments,aggregate_average,Finance
Display logs whose errors exceeds 890,filter_condition,Technology
Display players whose assists exceeds 880,filter_condition,Sports
Filter orders having quantity equal to 802,filter_condition,Retail
Show all students with grade below 194,filter_condition,Education
Display top rows from sales,show_head,Retail
Filter teams having goals equal to 396,filter_condition,Sports
List transactions where balance is greater than 655,filter_condition,Finance
Display grades whose marks exceeds 742,filter_condition,Education
Filter orders having discount equal to 269,filter_condition,Retail
Filter patients having age equal to 460,filter_condition,Medical
Display games whose assists exceeds 160,filter_condition,Sports
Find total runtime for all batches,aggregate_sum,Manufacturing
Filter accounts having amount equal to 777,filter_condition,Finance
Display tests whose age exceeds 602,filter_condition,Medical
List logs where errors is greater than 253,filter_condition,Technology
Show all patients with age below 775,filter_condition,Medical
Order parts from smallest to largest cost,sort_ascending,Manufacturing
List records where heart rate is greater than 827,filter_condition,Medical
List batches where runtime is greater than 747,filter_condition,Manufacturing
List farms where rainfall is greater than 127,filter_condition,Agriculture
Filter sales having discount equal to 474,filter_condition,Retail
List devices where uptime is greater than 747,filter_condition,Technology
Show how many investments are in each branch,groupby_count,Finance
Filter students having grade equal to 254,filter_condition,Education
Find lowest cost among parts,aggregate_minmax,Manufacturing
List students where attendance is greater than 827,filter_condition,Education
Display parts whose cost exceeds 290,filter_condition,Manufacturing
Show all products with quantity below 3,filter_condition,Retail
Show all batches with cost below 593,filter_condition,Manufacturing
Show all subjects with attendance below 803,filter_condition,Education
List batches where output is greater than 103,filter_condition,Manufacturing
Show all logs with response time below 98,filter_condition,Technology
List investments where amount is greater than 595,filter_condition,Finance
Filter logs having errors equal to 392,filter_condition,Technology
Sort sales by quantity in ascending order,sort_ascending,Retail
Display batches whose output exceeds 25,filter_condition,Manufacturing
Get minimum balance from accounts,aggregate_minmax,Finance
Filter games having score equal to 702,filter_condition,Sports
Show all tickets with uptime below 835,filter_condition,Technology
Filter batches having output equal to 81,filter_condition,Manufacturing
Filter subjects having grade equal to 177,filter_condition,Education
Order accounts from largest to smallest amount,sort_descending,Finance
List patients where heart rate is greater than 304,filter_condition,Medical
Count number of investments per branch,groupby_count,Finance
Show all logs with uptime below 447,filter_condition,Technology
Show all tests with age below 818,filter_condition,Medical
