Temperature(°C),Humidity(%),Average_Weight(g),Accel_X(m/s²),Accel_Y(m/s²),Accel_Z(m/s²),Average_RPM
42.87,71.39,341.95,6.42,6.5,-4.82,1594.73
37.75,50.81,271.09,4.09,0.01,1.7,1407.04
25.76,56.34,255.38,-1.19,-4.6,-1.92,802.06
40.0,75.67,153.54,7.57,2.41,7.32,1875.74
38.7,78.68,164.42,-7.25,9.14,-5.49,817.55
38.07,73.3,181.22,-4.79,2.02,9.94,701.51
34.69,55.73,160.95,-0.21,2.59,-2.81,289.44
35.86,67.82,230.17,-8.77,8.7,0.31,140.56
30.03,64.2,217.38,-8.09,0.31,-7.35,699.8
35.58,69.83,277.47,-2.05,9.93,1.59,184.0
25.93,84.81,257.13,8.88,-6.81,9.23,925.27
44.16,81.03,269.19,8.17,0.74,4.99,1720.02
25.57,53.36,244.4,-0.68,-5.74,-5.12,952.23
22.55,95.86,205.55,-7.16,-0.93,-1.15,961.16
33.09,68.87,340.57,-6.44,-6.59,-1.49,506.88
39.75,79.75,167.28,-2.45,-5.55,-8.04,332.59
33.13,55.6,337.78,-5.8,-5.78,7.72,444.66
28.3,76.83,212.25,-8.34,-3.6,-2.37,1135.98
36.75,59.45,252.53,3.48,-7.31,-0.11,1183.59
30.41,67.54,171.77,1.63,6.19,-4.18,440.38
47.99,50.67,164.19,-4.17,-5.59,-6.95,797.84
47.68,56.06,235.91,5.58,-1.67,8.04,1137.37
35.07,53.68,298.34,5.52,-9.68,-9.25,1520.92
29.84,59.59,203.87,-0.18,-7.9,-2.0,639.54
42.11,54.0,262.47,-8.07,7.93,4.61,542.71
21.1,77.68,205.73,8.37,6.74,-3.82,1460.93
34.24,51.16,227.72,3.37,6.82,-1.08,1027.62
30.09,74.71,331.29,-5.06,-1.77,1.29,1713.49
47.62,55.63,321.17,2.21,-7.17,9.9,422.01
20.36,87.81,253.2,-1.9,-7.84,5.17,1541.89
36.58,87.32,197.62,2.71,2.11,9.34,324.07
42.22,59.02,188.64,-0.52,6.56,3.86,1169.54
34.55,74.58,340.82,-0.29,8.0,-4.62,567.27
22.56,51.12,190.54,4.72,-4.23,-4.25,202.18
49.17,87.27,311.63,2.27,-3.58,6.45,1233.53
35.54,70.92,223.79,-8.4,-7.98,-1.45,1013.6
38.43,51.73,347.13,-8.69,5.49,-2.6,971.96
27.1,63.7,223.63,-3.9,-4.49,8.9,1185.04
34.5,53.07,220.3,-1.4,-0.38,-9.74,744.87
32.87,65.72,277.49,-4.5,8.58,0.5,1340.34
22.25,76.8,342.3,3.03,5.04,5.5,261.69
23.18,68.8,345.24,-6.1,-8.95,4.72,1429.94
45.12,65.35,291.44,4.08,-9.84,-2.65,1159.63
27.19,54.77,300.92,5.46,5.75,0.71,972.95
25.85,59.8,262.68,-7.51,1.05,-9.89,255.3
35.15,54.01,301.16,3.02,4.41,0.7,556.53
43.06,82.3,321.96,9.23,-6.86,1.81,590.59
21.86,55.41,247.22,-6.14,7.44,7.5,467.63
37.3,73.81,273.97,8.19,5.47,-5.79,1908.36
53.04,63.71,257.46,2.12,7.82,6.5,1831.28
21.09,59.04,262.49,1.82,-3.18,4.36,1092.27
53.04,75.58,328.01,-8.96,-4.49,3.32,411.35
45.02,68.28,221.12,4.97,-6.97,-2.11,1822.28
23.54,66.01,191.64,-0.43,8.6,-2.65,1498.81
21.35,73.71,241.26,4.42,-6.46,4.07,77.54
33.14,69.65,191.62,6.18,-7.61,9.8,981.42
45.32,62.14,249.68,0.48,-6.15,-1.89,1209.89
27.87,72.36,330.7,-4.73,5.43,8.37,132.95
32.65,76.78,273.49,-7.17,7.79,1.73,99.66
21.2,51.07,321.09,-6.79,6.22,7.36,927.05
33.47,68.63,183.24,7.34,1.26,-5.66,3.9
37.33,52.31,330.17,-7.53,9.88,5.24,93.67
37.13,57.46,270.36,-2.31,-8.62,6.7,330.28
29.97,72.42,156.35,-3.31,7.34,6.64,1819.94
29.47,84.65,276.62,7.31,-1.45,5.69,1532.57
23.2,85.31,340.28,-0.45,-0.9,-3.92,900.85
31.0,52.8,165.83,9.93,-7.45,0.44,958.41
22.98,66.76,266.49,4.74,-9.33,-4.01,1372.05
43.0,73.32,333.1,7.02,-3.67,-3.14,948.77
48.99,55.88,151.94,-8.03,-6.5,-3.98,127.85
49.1,80.62,276.18,-4.94,-0.33,-4.32,1477.46
45.95,79.77,244.98,-7.29,-7.05,3.87,115.5
38.02,86.13,219.4,-0.73,-7.24,3.01,972.19
41.03,50.34,275.51,4.37,7.54,-5.91,1723.42
28.56,58.67,160.54,-6.62,8.43,3.83,234.76
38.92,83.09,300.61,-7.4,9.28,-4.18,1413.26
33.67,76.82,150.9,2.29,3.61,-5.97,92.66
34.46,85.78,211.39,-5.39,5.42,4.95,1986.12
42.73,52.29,250.79,-0.41,6.72,-2.74,1364.17
28.46,73.88,225.4,-8.98,3.18,1.39,1937.98
29.54,72.76,211.5,3.61,-3.4,-6.0,1336.45
47.74,51.43,316.17,0.83,-6.87,2.27,484.57
21.69,70.54,336.97,2.95,-5.25,-5.84,1852.73
34.57,74.38,324.74,-4.49,6.81,-6.66,1253.34
47.38,57.65,254.49,-4.43,3.92,-2.27,1151.87
38.31,60.93,326.83,6.03,-0.88,5.8,858.22
36.39,75.61,334.17,4.37,-9.41,-6.47,569.19
27.49,68.73,231.85,1.59,-4.68,-7.66,1060.14
30.3,84.32,206.69,2.56,4.58,-9.37,732.12
45.56,63.7,169.65,-8.12,0.25,-1.68,1708.05
36.78,60.67,245.82,7.12,-1.29,-4.36,57.6
35.44,89.39,339.26,5.4,-3.73,-4.16,1060.18
22.99,86.45,262.18,1.81,2.14,9.64,1673.13
20.48,51.16,283.51,8.37,9.33,-6.12,55.21
48.91,80.83,172.58,-6.63,8.02,-0.83,564.61
18.85,54.41,178.7,3.73,-9.39,9.73,103.05
38.1,51.1,242.89,9.26,-0.38,-9.39,1190.01
22.39,60.95,340.25,-3.8,-3.41,3.93,633.47
40.49,60.77,222.16,-9.69,0.21,-2.58,1919.46
47.98,82.77,325.5,4.7,2.12,8.12,1232.59
37.27,78.43,174.06,-9.86,-6.0,8.24,1123.6
23.78,89.26,273.4,7.45,5.63,-2.26,1834.48
37.45,78.46,270.12,-8.87,-0.5,-5.57,447.15
42.99,66.73,321.97,3.06,9.84,-1.44,1124.48
32.19,77.96,150.66,-2.46,-9.5,9.31,1085.57
46.4,89.98,187.99,-5.93,-6.21,-4.37,164.23
39.46,78.41,193.94,7.97,3.79,9.63,1864.12
46.98,80.47,339.99,4.92,3.9,6.39,1400.47
38.71,87.53,180.74,-3.19,1.64,-4.65,1776.21
23.94,54.55,157.39,-4.32,9.44,5.82,1965.07
29.29,78.19,256.89,4.72,-1.69,-9.0,959.31
26.05,84.03,255.71,6.73,-1.66,0.96,1607.32
47.26,88.18,318.81,4.32,8.21,-2.85,1155.12
42.81,58.44,339.77,2.8,0.77,-1.46,1954.25
40.29,70.16,257.71,-5.44,-2.93,-0.54,494.45
29.03,77.22,336.0,7.06,4.38,0.05,27.63
25.52,59.9,295.03,4.99,2.39,3.13,371.9
42.69,74.02,202.91,0.35,-3.87,3.94,256.04
34.22,60.3,335.68,0.23,-4.04,9.51,873.9
26.77,63.34,283.49,1.38,-2.09,5.26,154.82
38.5,67.66,232.82,6.57,-8.57,3.76,440.4
21.21,71.17,286.05,4.85,8.85,-2.15,192.53
29.79,67.97,230.26,7.12,-6.34,-7.64,973.51
34.06,69.73,172.84,0.15,-6.12,-8.82,533.55
24.44,61.94,293.8,2.49,2.94,-0.45,942.01
49.54,56.36,314.82,7.09,4.48,3.37,177.78
26.27,51.89,295.76,-5.35,4.74,3.0,1033.74
23.91,57.84,195.82,-1.12,-2.5,9.06,260.14
26.11,73.28,341.33,2.41,7.47,-2.35,198.69
43.07,81.44,155.05,8.3,0.88,2.56,620.04
32.77,56.77,216.54,-9.68,-1.23,7.76,1748.83
36.96,54.34,202.02,-5.75,6.21,-1.92,1577.04
20.63,79.97,159.63,-5.31,-5.13,-0.45,1918.3
21.03,62.21,231.15,-3.47,7.2,8.46,920.39
33.37,88.06,274.62,-4.36,0.78,1.0,624.88
44.5,78.57,326.51,1.8,8.0,5.99,1941.81
46.56,63.07,347.94,7.71,-5.97,8.71,763.54
22.6,61.58,311.62,2.74,8.72,1.42,18.21
36.15,70.95,243.74,-5.17,3.76,-7.82,1640.22
47.4,53.17,294.74,7.28,2.37,6.43,338.42
31.64,54.71,318.72,2.64,-1.56,6.36,1435.82
44.89,57.03,243.06,-5.62,9.13,-7.7,30.24
24.01,80.99,307.01,-2.77,-1.12,0.96,221.98
48.06,70.55,246.53,5.8,-0.03,-0.26,967.13
42.54,50.42,227.3,4.78,5.63,6.94,135.8
48.24,76.94,255.22,1.53,-4.3,-4.51,1777.26
40.3,66.95,285.17,-7.1,-4.17,-1.47,1499.74
30.9,70.43,295.38,6.07,5.51,2.1,656.37
48.15,58.56,221.35,-3.85,-7.43,0.34,1195.04
28.27,72.07,264.26,5.43,6.46,9.1,1431.05
29.97,89.17,331.97,2.95,2.5,9.21,1510.8
41.02,52.94,345.26,-4.72,0.78,-8.37,791.35
42.96,61.36,195.45,-5.75,-5.42,-4.04,1797.6
47.88,59.72,188.57,-7.38,5.73,-9.85,1883.57
26.14,59.94,285.34,-5.16,6.1,-1.64,391.43
43.94,65.15,232.94,-6.84,-0.34,3.24,1822.48
42.16,82.72,154.84,2.34,-2.22,-0.57,1425.36
21.91,86.51,219.37,1.98,-5.08,-8.66,1776.28
31.62,58.09,311.35,1.72,5.08,-6.08,849.51
28.48,71.72,309.49,2.84,2.79,-6.53,1322.4
29.13,75.48,248.94,6.3,-5.87,0.22,470.76
49.49,70.87,244.52,8.27,5.89,3.55,1502.2
39.28,67.36,265.9,-5.39,7.64,-3.67,1163.47
41.53,57.68,193.88,1.76,-8.82,-7.39,961.89
49.3,69.53,255.21,-8.43,5.45,5.97,1385.36
31.32,66.05,152.21,-7.6,7.06,7.17,1104.69
44.06,81.82,245.11,3.09,9.83,-4.47,1530.71
33.04,80.54,217.21,-0.27,-5.25,-1.59,1716.87
46.09,55.36,284.97,5.17,-2.58,-8.36,1601.21
25.42,53.54,277.67,-1.49,9.32,-5.45,615.01
48.43,86.33,226.17,-7.45,-8.12,5.34,1952.24
26.56,71.42,151.45,7.44,0.47,-2.7,1299.48
29.79,84.31,200.45,-8.34,0.13,2.09,2723.02
42.69,52.33,276.67,-6.22,2.13,8.92,85.16
31.81,71.06,164.47,-4.46,-3.38,4.47,2723.02
38.25,71.58,171.53,9.91,8.52,-0.93,1198.03
33.34,84.43,279.41,-1.66,-4.6,-2.66,455.08
42.27,53.9,301.15,0.03,2.99,-6.19,982.25
26.85,59.62,214.31,5.39,-0.08,5.12,795.08
21.75,66.26,247.93,2.73,-4.67,-7.75,1902.73
29.0,84.63,339.14,6.83,-6.22,-8.77,985.32
34.23,87.56,339.11,-0.27,9.13,-7.9,969.34
25.04,89.71,211.5,9.44,1.23,-5.14,1589.2
30.64,88.37,75.22,5.94,2.08,2.54,781.82
32.0,50.24,268.79,-1.97,5.66,7.23,393.04
21.72,51.91,345.1,-2.37,-8.38,9.85,1536.8
37.5,55.9,245.52,8.59,4.28,4.63,1820.22
46.53,63.95,304.94,3.69,-6.7,-7.08,91.45
24.55,83.2,303.63,2.43,4.81,-4.45,1719.8
37.93,85.71,249.49,5.16,-7.17,-7.36,875.73
39.94,57.47,309.13,1.22,6.65,-7.69,578.27
32.58,74.79,202.21,-6.82,3.62,1.35,2723.02
41.03,86.69,174.45,-3.62,-2.28,8.13,411.05
32.32,68.55,235.03,1.16,-2.82,3.69,665.74
35.14,54.14,338.73,-9.64,-7.02,6.01,141.37
20.22,68.31,250.15,-1.25,8.08,0.16,377.58
40.75,65.03,277.05,5.12,-7.63,-0.49,1473.68
39.84,73.11,274.83,-6.72,-0.56,8.75,1373.72
21.15,67.55,176.51,-8.71,-5.27,4.44,1539.68
31.05,44.56,228.06,6.72,9.93,-0.81,330.52
49.37,89.76,291.39,2.35,1.72,-3.35,86.06
32.62,71.74,344.4,-6.47,-7.01,-8.14,937.18
35.06,68.95,183.6,6.13,3.35,6.42,685.57
47.3,88.18,232.09,3.16,9.83,-6.61,1553.47
41.52,56.23,169.02,-3.32,2.1,0.3,1077.65
37.46,57.57,198.48,-2.48,-0.85,2.75,1862.36
43.93,82.32,225.35,-6.88,-4.13,4.88,122.41
45.93,60.43,258.13,6.71,-8.16,-8.33,727.35
33.71,81.97,196.11,0.18,-5.44,-9.79,810.48
34.25,60.86,195.51,1.14,1.07,4.12,251.78
31.58,51.33,305.57,7.67,5.08,-0.91,1166.03
49.0,70.68,342.53,-9.68,7.56,-6.38,80.4
40.91,57.87,214.72,-8.66,5.87,9.64,1425.45
22.5,44.56,287.6,-6.77,-7.49,5.83,74.89
45.89,75.65,201.62,-9.4,5.47,1.57,1746.94
34.42,86.94,335.59,3.16,1.63,4.04,130.05
22.06,81.32,284.58,2.68,-0.62,-6.9,912.7
36.49,57.23,310.54,-5.78,1.46,9.24,310.77
32.51,82.01,159.87,-7.01,-9.84,9.93,266.24
46.33,75.67,269.7,-7.09,-8.65,2.97,1442.43
26.12,76.76,255.52,9.06,0.52,3.37,1548.5
44.79,83.29,208.6,3.87,-6.53,4.09,1478.4
36.73,72.95,202.49,1.71,0.91,3.32,807.98
21.64,68.64,266.0,-3.55,-2.92,-1.23,1981.57
49.16,75.47,291.3,-1.34,8.15,0.81,679.94
35.38,61.92,156.63,-8.21,8.99,-4.35,490.56
28.73,57.3,263.48,9.96,9.6,-1.06,1993.01
34.08,74.66,184.09,5.1,7.98,-1.28,1954.55
45.74,59.35,178.07,2.43,9.72,-4.24,1183.67
29.15,53.2,274.62,1.76,4.12,5.73,418.08
25.78,50.02,212.17,0.09,9.21,-1.81,477.0
23.87,74.33,238.18,-4.85,2.84,1.03,1041.77
28.94,64.49,222.0,13.14,7.24,10.85,1552.21
43.4,80.09,279.67,0.99,-7.36,-0.5,154.91
34.15,65.01,244.02,-8.6,3.65,5.23,1375.34
26.82,69.44,342.69,-8.51,8.62,-1.11,206.22
24.99,66.28,220.48,1.22,0.8,1.15,1688.22
29.98,76.02,298.06,8.4,-6.26,4.03,1064.24
48.2,64.25,201.46,8.29,0.54,-2.22,1979.39
30.29,88.55,251.75,-9.78,4.14,-2.93,1505.96
49.64,87.45,260.51,-7.85,5.4,-8.29,994.46
34.56,83.92,215.82,1.66,0.47,1.65,282.35
25.37,86.81,244.36,6.97,-5.65,4.14,1084.79
46.73,67.97,205.86,9.09,8.53,1.63,228.89
33.81,71.46,151.2,7.21,5.47,-4.33,1810.32
41.29,79.68,193.13,3.55,-4.59,-4.75,460.14
49.51,77.85,290.01,-5.99,6.24,-6.81,1730.73
21.51,85.63,304.19,-8.55,-3.04,-9.06,607.81
22.9,78.65,206.04,-9.05,-3.75,-1.46,443.8
41.61,89.92,231.61,2.24,7.26,-6.79,608.47
28.45,63.94,157.47,-9.28,7.46,3.82,1415.11
25.53,83.32,197.41,4.78,-2.03,9.23,1050.43
21.18,77.91,305.84,4.25,-9.82,-8.53,214.94
20.66,77.66,271.2,-8.41,-6.27,7.86,274.12
43.23,63.03,191.15,8.13,8.19,3.15,757.06
24.03,81.42,201.49,0.44,7.97,7.21,677.09
34.03,86.02,313.36,8.09,-0.93,-6.9,1703.47
38.18,58.74,191.82,8.03,-3.92,8.13,1144.51
32.85,75.02,216.83,-6.06,-3.95,9.16,373.43
20.81,65.69,282.87,-2.39,7.94,8.13,56.69
43.51,89.58,262.22,0.13,9.21,-0.41,204.73
20.32,69.15,242.17,5.5,0.23,-8.19,1400.82
42.86,59.13,329.95,0.08,4.62,-5.59,1694.19
46.8,65.27,193.94,8.58,-5.81,8.26,1565.08
32.99,76.15,298.28,-5.84,-4.92,-5.41,1579.75
36.07,53.04,181.81,3.77,-2.84,-3.05,521.92
34.31,74.14,273.15,9.78,3.08,-8.99,1978.17
31.68,87.25,324.12,3.31,6.35,2.56,172.82
46.62,84.01,241.58,-8.62,0.93,1.27,1642.19
46.82,52.71,294.86,1.77,-7.34,9.24,193.63
30.07,89.74,314.08,-6.4,-1.08,7.85,535.06
38.45,77.95,177.21,-9.39,-7.45,0.12,990.83
47.81,56.49,291.17,-3.3,-8.23,2.19,106.68
48.86,50.5,333.97,-4.68,1.79,-1.74,788.34
35.27,56.85,265.27,5.78,9.12,-7.35,700.23
33.58,83.53,187.22,19.16,-0.86,11.03,1294.34
28.36,50.87,175.39,4.66,5.49,0.99,1436.03
48.77,59.33,201.95,-9.68,4.54,-1.49,180.99
24.28,80.29,170.7,-9.7,7.94,-8.63,76.14
37.39,73.44,252.68,-9.41,5.06,3.31,1551.78
28.48,81.31,163.94,-5.61,2.54,-2.01,1055.98
28.37,79.85,194.68,-2.52,-2.71,-4.93,1069.27
32.15,52.02,237.98,2.16,-7.98,7.54,1961.43
49.96,85.7,244.78,9.72,-0.78,-6.33,875.48
21.65,59.08,263.08,-2.91,8.5,0.3,392.39
37.36,72.14,291.12,-8.89,1.66,5.92,1361.28
22.48,75.77,159.45,-6.1,-6.31,6.98,1631.36
24.64,56.75,166.12,7.96,2.98,6.37,1004.72
33.19,89.05,162.17,3.99,-0.69,7.93,1383.63
35.31,69.53,234.63,5.8,8.63,-7.15,1027.86
27.76,52.31,158.37,-7.52,-6.78,8.81,814.7
29.49,87.49,299.22,-7.3,4.24,-9.78,68.56
22.61,73.45,194.6,-7.76,3.63,-4.88,347.49
29.1,77.97,337.84,7.14,9.67,-8.32,959.53
49.0,71.01,247.28,-5.8,1.3,8.91,793.06
48.34,83.39,239.27,2.86,7.43,-1.52,1685.77
30.05,51.33,306.11,0.32,-9.51,-3.69,216.89
37.13,60.74,292.63,0.89,-7.54,-6.66,100.26
47.29,68.79,271.46,-6.09,-3.08,-6.88,174.27
20.19,53.06,337.03,2.7,2.39,2.28,1356.19
44.32,78.24,234.45,-9.14,-1.02,-9.06,1188.95
48.45,65.75,311.71,9.87,-5.95,1.89,1264.44
22.74,60.91,226.02,-9.46,1.78,5.49,313.84
24.84,50.14,317.67,-9.0,1.33,2.02,1032.71
48.82,78.79,201.89,-3.51,0.49,6.53,1535.34
36.13,83.35,207.85,6.63,-8.19,-4.69,1367.75
20.43,65.8,285.57,-4.86,8.54,-8.46,877.38
27.73,72.57,192.54,-0.56,1.85,4.42,207.0
33.5,59.11,195.83,-9.64,-4.72,6.56,1741.3
40.79,74.89,211.05,-8.42,3.75,0.03,1052.41
41.99,50.49,285.79,2.16,-3.64,6.41,1779.32
49.86,69.55,327.88,-6.11,0.12,-0.84,877.4
28.63,75.77,284.91,3.89,-3.18,-6.03,474.03
36.15,86.73,315.56,5.71,7.61,-0.51,614.83
36.0,65.25,258.71,7.01,9.88,-5.68,836.3
32.17,80.61,163.78,-7.32,-6.78,-0.56,1228.45
25.07,73.91,170.09,-0.89,-9.53,-7.05,1537.82
49.32,87.08,260.88,8.94,-5.61,-6.29,485.28
45.6,65.94,215.56,5.44,1.8,7.66,375.44
34.95,62.76,194.11,18.1,18.74,8.54,405.32
38.1,85.49,243.25,0.05,6.23,-5.51,1869.0
26.82,51.97,283.3,8.45,-1.83,9.91,327.9
36.31,55.46,227.0,-1.2,2.21,1.52,691.49
40.85,53.3,310.51,6.75,-0.89,1.72,971.74
35.46,83.72,297.7,-0.08,8.07,6.9,1112.41
49.71,50.42,296.98,-7.86,-9.3,0.49,1716.17
38.34,84.47,347.04,-7.04,4.59,-5.56,225.77
31.13,68.05,209.05,-9.07,3.04,-1.55,216.03
43.16,50.16,278.95,-6.09,2.99,5.1,632.82
25.11,66.07,321.1,7.87,-1.72,7.45,826.4
31.54,57.47,265.9,3.0,-9.69,-4.54,747.55
30.41,74.98,307.9,4.78,3.78,-4.76,783.8
32.95,77.17,232.89,2.43,6.59,-3.45,1702.91
43.45,69.5,268.1,-2.27,-8.3,1.92,1673.34
34.53,51.62,161.13,-5.66,-1.17,-4.43,1611.0
43.82,76.25,347.15,8.51,-6.75,7.86,1510.56
37.29,83.68,310.0,0.3,2.22,9.56,80.78
30.26,78.81,323.76,-0.38,5.71,3.58,298.78
44.3,83.2,288.86,9.92,3.33,9.41,1464.39
27.15,58.02,187.21,-2.32,-3.64,-4.24,1189.69
26.73,85.56,75.22,7.08,-7.21,6.3,1347.89
35.14,62.89,322.93,7.25,5.89,3.57,1433.86
27.83,50.54,229.27,-5.35,-3.52,-4.74,1822.73
20.27,83.74,202.77,-8.1,-9.56,-3.63,1270.29
39.45,87.67,262.33,9.51,1.43,-0.23,551.13
35.33,76.22,234.18,-1.48,-5.07,5.83,166.03
33.37,59.26,280.33,-9.96,6.82,7.44,864.17
49.01,60.07,246.76,-0.02,-7.13,2.68,1419.7
37.14,68.66,289.45,2.39,-1.3,4.43,563.8
45.9,85.91,320.68,5.52,-4.94,-4.72,240.16
53.04,55.98,189.11,8.86,3.79,4.82,1997.48
37.08,83.04,215.89,8.3,0.97,2.1,837.75
46.04,95.86,237.36,8.8,5.82,-5.54,432.63
18.85,82.34,342.41,-9.36,-0.83,9.0,329.11
41.54,86.81,223.07,4.24,-9.9,0.26,1725.56
31.16,67.1,226.22,-5.48,-5.7,5.89,1639.21
22.77,64.6,280.69,-6.25,9.98,0.51,1226.64
33.74,82.09,233.84,6.01,-1.89,8.66,1094.37
31.83,71.18,340.24,-1.66,2.4,-7.17,1902.88
46.01,77.38,328.89,8.33,8.1,0.92,456.54
27.32,74.91,252.68,-9.15,-9.59,-9.5,830.79
49.0,56.12,278.96,6.04,3.19,-6.05,49.33
48.74,83.79,161.61,-7.26,-4.23,-4.38,837.18
27.43,57.83,289.15,-6.47,-4.42,-0.55,768.43
30.44,87.29,291.44,-0.45,-5.5,6.4,1898.99
46.87,60.02,221.84,-2.09,6.45,-0.67,716.46
49.0,79.36,193.94,-0.28,-2.54,1.22,1669.58
33.3,61.39,333.02,8.8,-8.66,8.48,1533.19
29.63,62.71,235.34,3.15,-8.06,5.13,294.54
35.78,62.4,280.74,-4.19,-7.03,-9.0,1925.43
40.63,79.92,156.67,-6.54,7.98,-6.47,1261.93
28.2,72.27,232.81,-1.6,-1.45,-9.24,1193.1
42.09,85.32,313.45,-0.97,8.32,-8.62,23.41
21.55,62.29,227.52,2.03,6.35,-3.22,1398.42
21.48,77.68,270.63,-4.68,6.76,4.56,111.26
31.59,80.12,191.97,5.35,-4.26,-5.11,370.76
30.6,56.06,233.31,-8.03,-4.57,-2.15,197.24
29.47,66.02,335.53,1.21,1.2,-2.12,756.41
34.73,95.86,263.29,2.47,-1.64,1.81,1591.42
29.62,64.23,330.39,-5.86,0.18,7.86,1414.76
25.77,62.88,330.4,6.52,-8.94,9.66,213.39
29.28,77.46,338.83,2.31,9.43,2.09,1596.92
49.25,58.63,329.08,2.91,-8.84,0.1,921.69
32.33,78.38,150.66,-0.05,-6.42,3.64,65.26
33.34,87.4,336.8,8.19,3.56,3.36,447.65
37.3,72.61,177.49,3.88,-6.89,0.48,1570.37
49.5,74.46,157.99,-2.36,-7.86,4.74,1466.6
27.25,52.76,161.08,-5.23,-6.93,-0.17,376.7
40.44,84.58,219.78,-8.58,-8.76,9.93,76.0
53.04,61.42,274.16,-6.69,-4.97,-9.02,590.4
38.22,74.6,230.46,9.85,-4.58,-1.14,1589.85
22.66,89.16,155.11,-1.86,-0.03,-2.06,1876.78
40.31,73.82,245.3,7.97,-1.23,5.41,1145.77
21.92,78.99,238.43,-6.59,-0.53,-6.18,182.21
37.88,67.81,301.37,-1.49,2.32,-1.32,1004.17
42.19,52.41,205.92,9.21,-5.38,3.96,1997.58
26.33,81.9,193.51,-8.18,-7.31,2.06,1877.34
45.25,51.4,201.19,1.88,7.58,0.9,1986.42
20.91,78.03,210.75,8.38,2.68,-1.3,1398.83
45.31,50.92,269.83,8.99,-8.79,5.04,852.18
33.81,84.49,244.31,6.92,9.22,2.93,1786.26
26.53,56.31,217.38,7.12,3.86,7.49,1790.36
24.01,70.57,224.86,3.04,-6.97,4.66,288.73
48.6,73.89,224.18,-5.59,9.38,-7.19,1550.77
22.18,68.3,344.48,4.61,-2.69,2.39,1838.62
25.97,63.63,196.6,9.57,9.69,-9.11,1797.04
30.43,68.71,313.61,0.52,-7.93,-2.25,1413.67
38.61,62.46,291.64,-4.79,-6.8,-1.76,1074.72
36.34,67.52,151.11,1.47,3.15,7.1,1553.5
23.77,64.36,348.64,3.81,-9.56,-6.39,1032.31
28.69,72.65,301.29,-5.83,-9.63,2.87,642.47
27.16,59.52,286.49,4.38,5.84,-6.15,517.88
26.41,89.55,231.06,1.75,-6.64,8.97,1081.31
32.33,70.03,261.04,2.25,8.38,0.59,911.91
41.12,57.77,200.65,-3.88,-1.48,4.16,1048.99
26.52,69.08,157.1,-6.89,7.47,2.93,521.39
31.0,84.66,317.2,2.47,-1.64,-3.93,1181.17
31.73,50.87,329.3,1.72,0.6,8.02,1324.15
49.29,77.18,182.49,-3.24,-3.67,2.54,1613.7
48.64,71.92,307.41,-4.08,3.16,0.21,1179.97
44.0,56.78,298.23,-3.06,-3.64,0.57,1512.14
27.25,82.7,185.68,-0.2,-5.54,7.81,338.77
22.04,64.76,234.37,9.5,-8.38,-8.82,242.13
29.51,61.75,234.55,5.27,-8.85,-2.22,359.28
28.0,83.13,301.99,7.03,-3.88,6.83,1692.53
35.18,75.54,317.53,0.11,4.73,-9.25,1112.3
43.33,85.93,168.96,0.52,-5.89,2.78,910.63
45.75,75.2,262.59,-5.91,-4.02,-1.93,1524.32
45.35,79.63,302.35,4.42,8.1,-5.91,248.16
30.79,83.46,307.24,-1.57,2.78,2.23,12.42
18.85,52.19,179.6,4.85,8.39,6.62,621.93
29.39,95.86,255.1,-1.82,8.22,-0.65,497.79
21.83,74.55,321.51,-7.83,-8.73,-7.07,614.66
41.05,52.78,213.7,-6.54,9.1,-3.88,1947.14
20.29,70.34,235.02,6.23,-8.98,9.63,-110.99
32.28,53.3,310.87,-4.83,8.51,-7.78,1178.22
29.88,79.44,167.86,-4.71,0.93,-6.79,1311.34
40.8,71.86,321.9,8.59,0.66,9.8,795.45
42.99,88.14,212.23,3.15,4.27,7.64,1957.95
29.12,57.33,150.29,-7.71,7.58,4.14,1946.52
44.35,74.24,196.83,-7.13,2.34,-6.98,1538.49
28.82,58.46,167.9,-4.55,-1.49,-5.19,423.38
33.39,74.56,168.48,1.88,-7.76,-6.4,1760.39
41.81,78.91,288.57,5.06,5.78,2.62,201.84
40.79,78.89,192.8,-4.51,-7.43,-2.02,1259.79
49.62,82.6,336.95,7.41,4.53,-9.04,914.43
26.75,84.14,253.29,-7.82,0.56,-4.17,78.43
39.87,53.09,242.02,-5.85,-2.28,7.21,1807.81
38.29,63.73,236.86,9.41,2.26,5.92,1922.19
47.45,95.86,288.52,-7.31,5.45,2.86,1814.79
24.69,69.94,240.45,7.76,8.82,-8.29,384.93
42.55,57.63,175.72,4.08,-4.71,7.66,665.96
37.05,72.11,326.03,-8.54,8.94,0.69,1911.47
28.24,66.3,235.68,-0.33,9.22,-0.11,212.85
34.23,65.6,164.8,0.38,6.27,8.68,1166.61
30.01,82.39,255.87,-6.72,-0.09,-16.91,971.04
37.38,66.3,279.47,-1.58,3.85,1.12,303.8
46.67,51.06,205.12,-1.06,-9.22,5.82,1773.15
37.08,52.32,310.07,-7.75,1.5,-8.73,268.31
38.95,84.25,283.96,2.78,4.94,-2.86,1185.41
35.56,88.42,280.07,-5.78,8.83,9.55,636.36
21.53,77.54,234.16,-8.45,1.41,-5.76,835.96
26.99,64.57,342.38,9.94,5.88,0.62,422.72
34.76,87.54,204.84,-4.61,4.1,4.92,1249.34
29.31,76.51,265.54,-7.18,-4.38,-2.19,1977.35
